agency,country,rating,outlook,date
S&P,Albania,BB,Stable,21 March 2025
S&P,Andorra,A-,Stable,10 May 2024
S&P,Angola,B-,Stable,4 February 2022
S&P,Argentina,B-,Stable,10 June 2026
S&P,Armenia,BB-,Stable,25 August 2023
S&P,Aruba,BBB+,Stable,24 March 2025
S&P,Australia,AAA,Stable,16 February 2003
S&P,Austria,AA+,Stable,13 January 2012
S&P,Azerbaijan,BB+,Positive,29 January 2016
S&P,Bahamas,BB-,Stable,26 September 2025
S&P,Bahrain,B,Stable,21 November 2025
S&P,Bangladesh,B+,Stable,30 July 2024
S&P,Barbados,B+,Stable,24 October 2025
S&P,Belgium,AA,Negative,25 April 2025
S&P,Belize,B-,Stable,9 November 2021
S&P,Benin,BB-,Stable,19 April 2024
S&P,Bermuda,A+,Stable,28 April 2015
S&P,Bolivia,CCC+,Stable,23 March 2026
S&P,Bosnia and Herzegovina,B+,Stable,4 August 2023
S&P,Botswana,BBB,Negative,12 September 2025
S&P,Brazil,BB,Stable,19 December 2023
S&P,Bulgaria,BBB+,Stable,10 July 2025
S&P,Burkina Faso,CCC+,Stable,26 January 2022
S&P,Cabo Verde,B,Positive,16 August 2024
S&P,Cameroon,B-,Stable,22 March 2024
S&P,Canada,AAA,Stable,29 July 2002
S&P,Chad,B-,Stable,28 October 2024
S&P,Chile,A,Stable,24 March 2021
S&P,China,A+,Stable,21 September 2017
S&P,Colombia,BB,Negative,26 June 2025
S&P,Cook Islands,B+,Positive,11 November 2020
S&P,Costa Rica,BB,Stable,22 October 2025
S&P,Cote d'Ivoire,BB,Stable,18 October 2024
S&P,Croatia,A,Stable,14 March 2026
S&P,Curacao,BBB-,Stable,22 February 2022
S&P,Cyprus,A-,Positive,20 March 2026
S&P,Czech Republic,AA-,Stable,28 March 2025
S&P,DR Congo,B-,Stable,28 January 2022
S&P,Denmark,AAA,Stable,6 February 2026
S&P,Dominican Republic,BB,Stable,19 December 2022
S&P,Ecuador,B-,Stable,1 September 2020
S&P,Egypt,B,Stable,10 October 2025
S&P,El Salvador,B-,Stable,7 November 2023
S&P,Estonia,A+,Stable,31 May 2024
S&P,Ethiopia,SD,,15 December 2023
S&P,Falkland Islands,A+,Stable,22 September 2021
S&P,Fiji,B+,Stable,22 September 2021
S&P,Finland,AA+,Stable,10 October 2014
S&P,France,A+,Stable,17 October 2025
S&P,Georgia,BB,Stable,11 October 2019
S&P,Germany,AAA,Stable,17 August 1983
S&P,Ghana,B-,Stable,7 November 2025
S&P,Greece,BBB,Stable,18 April 2025
S&P,Guatemala,BB+,Stable,23 May 2025
S&P,Guernsey,A+,Stable,13 January 2023
S&P,Guinea,B+,Stable,18 September 2025
S&P,Honduras,BB-,Negative,19 July 2017
S&P,Hong Kong,AA+,Stable,22 September 2017
S&P,Hungary,BBB-,Negative,11 April 2025
S&P,Iceland,A+,Positive,6 March 2026
S&P,India,BBB,Stable,14 August 2025
S&P,Indonesia,BBB,Stable,31 May 2019
S&P,Iraq,B-,Stable,3 September 2015
S&P,Ireland,AA+,Stable,20 March 2026
S&P,Israel,A,Stable,1 October 2024
S&P,Italy,BBB+,Stable,11 April 2025
S&P,Jamaica,BB,Stable,25 September 2025
S&P,Japan,A+,Stable,16 September 2015
S&P,Jersey,AA-,Stable,16 January 2021
S&P,Jordan,BB-,Stable,6 September 2024
S&P,Kazakhstan,BBB,Positive,21 August 2026
S&P,Kenya,B,Stable,22 August 2025
S&P,Kuwait,AA-,Stable,21 November 2025
S&P,Kyrgyzstan,B+,Stable,28 March 2025
S&P,Laos,CCC+,Positive,23 October 2025
S&P,Latvia,A,Stable,31 May 2024
S&P,Lebanon,SD,,11 March 2020
S&P,Liechtenstein,AAA,Stable,2 December 1996
S&P,Lithuania,A,Stable,31 May 2024
S&P,Luxembourg,AAA,Stable,28 April 1994
S&P,Madagascar,B-,Negative,11 April 2022
S&P,Malaysia,A-,Stable,19 September 2025
S&P,Malta,A-,Stable,14 October 2016
S&P,Mauritius,BBB-,Stable,21 July 2023
S&P,Mexico,BBB,Stable,26 March 2020
S&P,Moldova,BB-,Stable,10 October 2025
S&P,Mongolia,BB-,Stable,30 October 2025
