country,indicator,year,value
AND,GDP growth,2027,1.84
AND,GDP growth,2028,1.7
AND,GDP growth,2029,1.6
AND,GDP growth,2030,1.5
AND,GDP growth,2031,1.5
AND,Inflation,2027,2.257
AND,Inflation,2028,2.0
AND,Inflation,2029,2.0
AND,Inflation,2030,2.0
AND,Inflation,2031,2.0
AND,Fiscal balance,2027,1.86
AND,Fiscal balance,2028,1.876
AND,Fiscal balance,2029,1.892
AND,Fiscal balance,2030,1.881
AND,Fiscal balance,2031,1.75
AND,Fiscal balance,2027,2.534
AND,Fiscal balance,2028,2.534
AND,Fiscal balance,2029,2.534
AND,Fiscal balance,2030,2.534
AND,Fiscal balance,2031,2.534
AND,Gen gov debt,2027,26.947
AND,Gen gov debt,2028,26.307
AND,Gen gov debt,2029,25.681
AND,Gen gov debt,2030,25.092
AND,Gen gov debt,2031,24.503
AUS,GDP growth,2027,1.698
AUS,GDP growth,2028,1.855
AUS,GDP growth,2029,2.057
AUS,GDP growth,2030,2.259
AUS,GDP growth,2031,2.325
AUS,Inflation,2027,3.154
AUS,Inflation,2028,2.584
AUS,Inflation,2029,2.526
AUS,Inflation,2030,2.498
AUS,Inflation,2031,2.429
AUS,Fiscal balance,2027,-2.052
AUS,Fiscal balance,2028,-1.883
AUS,Fiscal balance,2029,-1.657
AUS,Fiscal balance,2030,-1.482
AUS,Fiscal balance,2031,-1.448
AUS,Fiscal balance,2027,-1.038
AUS,Fiscal balance,2028,-0.935
AUS,Fiscal balance,2029,-0.713
AUS,Fiscal balance,2030,-0.55
AUS,Fiscal balance,2031,-0.53
AUS,Gen gov debt,2027,50.657
AUS,Gen gov debt,2028,50.541
AUS,Gen gov debt,2029,50.206
AUS,Gen gov debt,2030,49.676
AUS,Gen gov debt,2031,49.124
AUT,GDP growth,2027,1.004
AUT,GDP growth,2028,1.319
AUT,GDP growth,2029,1.079
AUT,GDP growth,2030,0.83
AUT,GDP growth,2031,0.785
AUT,Inflation,2027,2.561
AUT,Inflation,2028,2.095
AUT,Inflation,2029,2.093
AUT,Inflation,2030,2.093
AUT,Inflation,2031,2.093
AUT,Fiscal balance,2027,-3.776
AUT,Fiscal balance,2028,-3.848
AUT,Fiscal balance,2029,-3.694
AUT,Fiscal balance,2030,-3.644
AUT,Fiscal balance,2031,-3.644
AUT,Fiscal balance,2027,-2.221
AUT,Fiscal balance,2028,-2.161
AUT,Fiscal balance,2029,-1.917
AUT,Fiscal balance,2030,-1.892
AUT,Fiscal balance,2031,-1.902
AUT,Gen gov debt,2027,82.651
AUT,Gen gov debt,2028,83.42
AUT,Gen gov debt,2029,84.192
AUT,Gen gov debt,2030,85.212
AUT,Gen gov debt,2031,86.424
BEL,GDP growth,2027,1.059
BEL,GDP growth,2028,1.144
BEL,GDP growth,2029,1.247
BEL,GDP growth,2030,1.311
BEL,GDP growth,2031,1.261
BEL,Inflation,2027,2.23
BEL,Inflation,2028,2.083
BEL,Inflation,2029,1.963
BEL,Inflation,2030,1.829
BEL,Inflation,2031,1.814
BEL,Fiscal balance,2027,-5.191
BEL,Fiscal balance,2028,-5.316
BEL,Fiscal balance,2029,-5.41
BEL,Fiscal balance,2030,-5.662
BEL,Fiscal balance,2031,-5.78
BEL,Fiscal balance,2027,-3.122
BEL,Fiscal balance,2028,-3.1
BEL,Fiscal balance,2029,-2.873
BEL,Fiscal balance,2030,-2.9
BEL,Fiscal balance,2031,-3.134
BEL,Gen gov debt,2027,111.515
BEL,Gen gov debt,2028,114.215
BEL,Gen gov debt,2029,116.643
BEL,Gen gov debt,2030,119.491
BEL,Gen gov debt,2031,122.339
CAN,GDP growth,2027,1.896
CAN,GDP growth,2028,1.655
CAN,GDP growth,2029,1.728
CAN,GDP growth,2030,1.665
CAN,GDP growth,2031,1.754
