iso3,country_en,region_en,country_fr,region_fr
ABW,Aruba,Latin America & Caribbean,Aruba,Amerique latine & Caraibes
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan"
AGO,Angola,Sub-Saharan Africa,Angola,Afrique subsaharienne
ALB,Albania,Europe & Central Asia,Albanie,Europe & Asie centrale
AND,Andorra,Europe & Central Asia,Andorre,Europe & Asie centrale
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",Émirats arabes unis,"Middle East, North Africa, Afghanistan & Pakistan"
ARG,Argentina,Latin America & Caribbean,Argentine,Amerique latine & Caraibes
ARM,Armenia,Europe & Central Asia,Arménie,Europe & Asie centrale
ASM,American Samoa,East Asia & Pacific,Samoa américaines,Asie de l'Est & Pacifique
ATG,Antigua and Barbuda,Latin America & Caribbean,Antigua-et-Barbuda,Amerique latine & Caraibes
AUS,Australia,East Asia & Pacific,Australie,Asie de l'Est & Pacifique
AUT,Austria,Europe & Central Asia,Autriche,Europe & Asie centrale
AZE,Azerbaijan,Europe & Central Asia,Azerbaïdjan,Europe & Asie centrale
BDI,Burundi,Sub-Saharan Africa,Burundi,Afrique subsaharienne
BEL,Belgium,Europe & Central Asia,Belgique,Europe & Asie centrale
BEN,Benin,Sub-Saharan Africa,Bénin,Afrique subsaharienne
BFA,Burkina Faso,Sub-Saharan Africa,Burkina Faso,Afrique subsaharienne
BGD,Bangladesh,South Asia,Bangladesh,Asie du Sud
BGR,Bulgaria,Europe & Central Asia,Bulgarie,Europe & Asie centrale
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",Bahreïn,"Middle East, North Africa, Afghanistan & Pakistan"
BHS,"Bahamas, The",Latin America & Caribbean,Bahamas,Amerique latine & Caraibes
BIH,Bosnia and Herzegovina,Europe & Central Asia,Bosnie-Herzégovine,Europe & Asie centrale
BLR,Belarus,Europe & Central Asia,Biélorussie,Europe & Asie centrale
BLZ,Belize,Latin America & Caribbean,Belize,Amerique latine & Caraibes
BMU,Bermuda,North America,Bermudes,North America
BOL,Bolivia,Latin America & Caribbean,Bolivie,Amerique latine & Caraibes
BRA,Brazil,Latin America & Caribbean,Brésil,Amerique latine & Caraibes
BRB,Barbados,Latin America & Caribbean,Barbade,Amerique latine & Caraibes
BRN,Brunei Darussalam,East Asia & Pacific,Brunei,Asie de l'Est & Pacifique
BTN,Bhutan,South Asia,Bhoutan,Asie du Sud
BWA,Botswana,Sub-Saharan Africa,Botswana,Afrique subsaharienne
CAF,Central African Republic,Sub-Saharan Africa,République centrafricaine,Afrique subsaharienne
CAN,Canada,North America,Canada,North America
CHE,Switzerland,Europe & Central Asia,Suisse,Europe & Asie centrale
CHI,Channel Islands,Europe & Central Asia,Channel Islands,Europe & Asie centrale
CHL,Chile,Latin America & Caribbean,Chili,Amerique latine & Caraibes
CHN,China,East Asia & Pacific,Chine,Asie de l'Est & Pacifique
CIV,Cote d'Ivoire,Sub-Saharan Africa,Côte d’Ivoire,Afrique subsaharienne
CMR,Cameroon,Sub-Saharan Africa,Cameroun,Afrique subsaharienne
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,Congo-Kinshasa,Afrique subsaharienne
COG,"Congo, Rep.",Sub-Saharan Africa,Congo-Brazzaville,Afrique subsaharienne
COL,Colombia,Latin America & Caribbean,Colombie,Amerique latine & Caraibes
COM,Comoros,Sub-Saharan Africa,Comores,Afrique subsaharienne
CPV,Cabo Verde,Sub-Saharan Africa,Cap-Vert,Afrique subsaharienne
CRI,Costa Rica,Latin America & Caribbean,Costa Rica,Amerique latine & Caraibes
CUB,Cuba,Latin America & Caribbean,Cuba,Amerique latine & Caraibes
CUW,Curacao,Latin America & Caribbean,Curaçao,Amerique latine & Caraibes
CYM,Cayman Islands,Latin America & Caribbean,Îles Caïmans,Amerique latine & Caraibes
CYP,Cyprus,Europe & Central Asia,Chypre,Europe & Asie centrale
CZE,Czechia,Europe & Central Asia,Tchéquie,Europe & Asie centrale
DEU,Germany,Europe & Central Asia,Allemagne,Europe & Asie centrale
DJI,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",Djibouti,"Middle East, North Africa, Afghanistan & Pakistan"
DMA,Dominica,Latin America & Caribbean,Dominique,Amerique latine & Caraibes
DNK,Denmark,Europe & Central Asia,Danemark,Europe & Asie centrale
DOM,Dominican Republic,Latin America & Caribbean,République dominicaine,Amerique latine & Caraibes
DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Algérie,"Middle East, North Africa, Afghanistan & Pakistan"
ECU,Ecuador,Latin America & Caribbean,Équateur,Amerique latine & Caraibes
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",Égypte,"Middle East, North Africa, Afghanistan & Pakistan"
ERI,Eritrea,Sub-Saharan Africa,Érythrée,Afrique subsaharienne
ESP,Spain,Europe & Central Asia,Espagne,Europe & Asie centrale
EST,Estonia,Europe & Central Asia,Estonie,Europe & Asie centrale
ETH,Ethiopia,Sub-Saharan Africa,Éthiopie,Afrique subsaharienne
FIN,Finland,Europe & Central Asia,Finlande,Europe & Asie centrale
