iso3,n_risks,n_opps,n_total
ABW,0,7,7
AFG,5,5,10
AGO,8,1,9
ALB,1,4,5
AND,0,3,3
ARE,0,10,10
ARG,2,1,3
ARM,3,4,7
ASM,0,3,3
ATG,1,3,4
AUS,1,7,8
AUT,2,6,8
AZE,1,6,7
BDI,7,3,10
BEL,2,4,6
BEN,3,5,8
BFA,3,2,5
BGD,5,4,9
BGR,0,4,4
BHR,3,5,8
BHS,1,3,4
BIH,2,3,5
BLR,4,4,8
BLZ,0,3,3
BMU,0,5,5
BOL,7,2,9
BRA,4,2,6
BRB,2,6,8
BRN,1,7,8
BTN,3,8,11
BWA,5,5,10
CAF,4,2,6
CAN,2,6,8
CHE,0,11,11
CHI,0,0,0
CHL,0,3,3
CHN,3,5,8
CIV,1,3,4
CMR,4,3,7
COD,5,7,12
COG,8,2,10
COL,4,1,5
COM,3,6,9
CPV,3,5,8
CRI,1,5,6
CUB,3,2,5
CUW,1,2,3
CYM,2,5,7
CYP,2,7,9
CZE,0,9,9
DEU,2,8,10
DJI,7,5,12
DMA,4,3,7
DNK,0,9,9
DOM,0,1,1
DZA,5,4,9
ECU,6,4,10
EGY,5,2,7
ERI,6,4,10
ESP,3,6,9
EST,2,6,8
ETH,5,5,10
FIN,2,6,8
FJI,2,4,6
FRA,2,5,7
FRO,0,1,1
FSM,1,5,6
GAB,6,1,7
GBR,2,5,7
GEO,5,5,10
GHA,2,4,6
GIB,0,0,0
GIN,5,5,10
GMB,3,4,7
GNB,5,3,8
GNQ,3,2,5
GRC,3,2,5
GRD,3,4,7
GRL,0,4,4
GTM,3,7,10
GUM,0,4,4
GUY,2,6,8
HKG,1,9,10
HND,4,2,6
HRV,1,3,4
HTI,8,3,11
HUN,1,2,3
IDN,1,4,5
IMN,1,0,1
IND,1,5,6
IRL,1,10,11
IRN,6,4,10
IRQ,8,5,13
ISL,1,8,9
ISR,2,6,8
ITA,1,5,6
JAM,3,4,7
JOR,4,3,7
JPN,2,10,12
KAZ,2,4,6
KEN,4,0,4
KGZ,5,5,10
KHM,3,6,9
KIR,3,5,8
KNA,2,2,4
KOR,0,10,10
KWT,1,6,7
LAO,6,5,11
LBN,9,2,11
LBR,4,3,7
LBY,7,3,10
LCA,1,4,5
LIE,1,6,7
LKA,3,2,5
LSO,2,4,6
LTU,1,6,7
LUX,1,8,9
LVA,2,6,8
MAC,0,11,11
MAF,0,0,0
MAR,1,1,2
MCO,0,5,5
MDA,1,4,5
MDG,3,3,6
MDV,5,4,9
MEX,2,3,5
MHL,2,4,6
MKD,2,1,3
MLI,4,5,9
MLT,1,8,9
MMR,5,5,10
MNE,3,1,4
MNG,3,3,6
MNP,0,1,1
MOZ,10,1,11
MRT,4,5,9
MUS,2,4,6
MWI,6,1,7
MYS,0,4,4
NAM,5,1,6
NCL,3,3,6
NER,5,5,10
NGA,6,6,12
NIC,5,5,10
NLD,1,7,8
NOR,0,8,8
NPL,2,4,6
NRU,1,7,8
NZL,1,6,7
OMN,0,7,7
PAK,7,3,10
PAN,3,1,4
PER,2,4,6
PHL,2,5,7
PLW,1,5,6
PNG,4,4,8
POL,0,6,6
PRI,0,3,3
PRK,3,2,5
PRT,0,6,6
PRY,3,1,4
PSE,9,0,9
PYF,1,3,4
QAT,0,9,9
ROU,2,1,3
RUS,3,6,9
RWA,2,4,6
SAU,0,7,7
SDN,9,2,11
SEN,5,4,9
SGP,1,10,11
SLB,1,6,7
SLE,6,3,9
SLV,5,4,9
SMR,1,7,8
SOM,6,2,8
SRB,2,2,4
SSD,7,2,9
STP,2,4,6
SUR,5,0,5
SVK,1,4,5
SVN,1,9,10
SWE,1,8,9
SWZ,8,3,11
SXM,1,1,2
SYC,1,5,6
SYR,8,5,13
TCA,0,2,2
TCD,4,5,9
TGO,3,4,7
THA,1,6,7
TJK,3,4,7
TKM,3,5,8
TLS,5,8,13
TON,2,7,9
TTO,0,3,3
TUN,5,1,6
TUR,3,1,4
TUV,0,6,6
TZA,2,3,5
UGA,6,3,9
UKR,6,1,7
URY,1,5,6
USA,3,6,9
UZB,5,6,11
VCT,6,3,9
VEN,7,2,9
VGB,0,0,0
VIR,1,3,4
VNM,1,7,8
VUT,1,7,8
WSM,0,9,9
XKX,2,2,4
YEM,8,0,8
ZAF,3,0,3
ZMB,5,2,7
ZWE,7,0,7
