iso3,sp_rating,sp_outlook,sp_date,sp_category_fr,mo_rating,mo_outlook,mo_date,mo_category_fr,fi_rating,fi_outlook,fi_date,fi_category_fr,notch_gap,divergence_en,divergence_fr,has_divergence
ALB,BB,Stable,2025-03-21,Speculatif,B1,Stable,2024-10-19,Speculatif,,,,Non note,2.0,Gap >= 2 notches,Ecart >= 2 crans,1
AND,A-,Stable,2024-05-10,Investment grade,,,,Non note,A-,Stable,2025-04-04,Investment grade,0.0,,,0
AGO,B-,Stable,2022-02-04,Speculatif,B3,Positive,2023-10-24,Speculatif,B-,Stable,2025-11-14,Speculatif,0.0,,,0
ARG,B-,Stable,2026-06-10,Speculatif,B3,Positive,2026-07-21,Speculatif,B-,Stable,2026-05-05,Speculatif,0.0,,,0
ARM,BB-,Stable,2023-08-25,Speculatif,Ba3,Stable,2023-06-22,Speculatif,BB-,Positive,2026-01-16,Speculatif,0.0,,,0
ABW,BBB+,Stable,2025-03-24,Investment grade,,,,Non note,BBB,Positive,2026-03-03,Investment grade,1.0,,,0
AUS,AAA,Stable,2003-02-16,Investment grade,Aaa,Stable,2022-06-28,Investment grade,AAA,Stable,2025-10-27,Investment grade,0.0,,,0
AUT,AA+,Stable,2012-01-13,Investment grade,Aa1,Stable,2023-02-24,Investment grade,AA,Stable,2025-12-05,Investment grade,1.0,,,0
AZE,BB+,Positive,2016-01-29,Speculatif,Ba1,Stable,2022-08-05,Speculatif,BBB-,Stable,2025-06-13,Investment grade,1.0,Investment vs speculative,Investment vs speculatif,1
BHS,BB-,Stable,2025-09-26,Speculatif,B1,Stable,2022-10-06,Speculatif,BB-,Stable,2025-04-09,Speculatif,1.0,,,0
BHR,B,Stable,2025-11-21,Speculatif,B2,Stable,2022-04-22,Speculatif,B,Stable,2026-02-23,Speculatif,0.0,,,0
BGD,B+,Stable,2024-07-30,Speculatif,B1,Stable,2023-05-30,Speculatif,B+,Stable,2025-05-22,Speculatif,0.0,,,0
BRB,B+,Stable,2025-10-24,Speculatif,B3,Stable,2023-08-03,Speculatif,B+,Positive,2025-10-09,Speculatif,2.0,Gap >= 2 notches,Ecart >= 2 crans,1
BEL,AA,Negative,2025-04-25,Investment grade,Aa3,Stable,2023-04-28,Investment grade,A+,Stable,2025-06-13,Investment grade,2.0,Gap >= 2 notches,Ecart >= 2 crans,1
BLZ,B-,Stable,2021-11-09,Speculatif,Caa2,Stable,2022-11-16,Speculatif,,,,Non note,2.0,Gap >= 2 notches,Ecart >= 2 crans,1
BEN,BB-,Stable,2024-04-19,Speculatif,B1,Stable,2023-09-18,Speculatif,B+,Positive,2026-01-16,Speculatif,1.0,,,0
BMU,A+,Stable,2015-04-28,Investment grade,A2,Stable,2022-06-21,Investment grade,,,,Non note,1.0,,,0
BOL,CCC+,Stable,2026-03-23,Speculatif,Caa1,Negative,2023-06-30,Speculatif,CCC,,2026-01-16,Speculatif,1.0,,,0
BIH,B+,Stable,2023-08-04,Speculatif,B3,Stable,2022-07-22,Speculatif,,,,Non note,2.0,Gap >= 2 notches,Ecart >= 2 crans,1
BWA,BBB,Negative,2025-09-12,Investment grade,A3,Stable,2023-10-27,Investment grade,,,,Non note,2.0,Gap >= 2 notches,Ecart >= 2 crans,1
BRA,BB,Stable,2023-12-19,Speculatif,Ba1,Positive,2024-10-07,Speculatif,BB,Stable,2025-06-25,Speculatif,1.0,,,0
BGR,BBB+,Stable,2025-07-10,Investment grade,Baa1,Stable,2023-02-03,Investment grade,BBB+,Stable,2025-07-10,Investment grade,0.0,,,0
BFA,CCC+,Stable,2022-01-26,Speculatif,,,,Non note,,,,Non note,,,,0
CPV,B,Positive,2024-08-16,Speculatif,,,,Non note,B,Stable,2025-05-13,Speculatif,0.0,,,0
CMR,B-,Stable,2024-03-22,Speculatif,Caa1,Stable,2023-07-27,Speculatif,B,Negative,2025-11-07,Speculatif,2.0,Gap >= 2 notches,Ecart >= 2 crans,1
CAN,AAA,Stable,2002-07-29,Investment grade,Aaa,Stable,2022-11-03,Investment grade,AA+,Stable,2025-07-18,Investment grade,1.0,,,0
TCD,B-,Stable,2024-10-28,Speculatif,,,,Non note,,,,Non note,,,,0
CHL,A,Stable,2021-03-24,Investment grade,A2,Stable,2022-09-15,Investment grade,A-,Stable,2025-09-26,Investment grade,1.0,,,0
CHN,A+,Stable,2017-09-21,Investment grade,A1,Stable,2026-04-27,Investment grade,A,Stable,2025-04-03,Investment grade,1.0,,,0
COL,BB,Negative,2025-06-26,Speculatif,Baa2,Stable,2023-06-08,Investment grade,BB,Stable,2025-12-16,Speculatif,3.0,Investment vs speculative,Investment vs speculatif,1
COK,B+,Positive,2020-11-11,Speculatif,,,,Non note,,,,Non note,,,,0
CRI,BB,Stable,2025-10-22,Speculatif,Ba3,Positive,2024-09-18,Speculatif,BB,Positive,2025-12-17,Speculatif,1.0,,,0
CIV,BB,Stable,2024-10-18,Speculatif,Ba3,Positive,2022-06-27,Speculatif,BB,Stable,2025-12-12,Speculatif,1.0,,,0
HRV,A,Stable,2026-03-14,Investment grade,A3,Stable,2024-11-07,Investment grade,A-,Stable,2026-03-06,Investment grade,1.0,,,0
CUW,BBB-,Stable,2022-02-22,Investment grade,,,,Non note,,,,Non note,,,,0
CYP,A-,Positive,2026-03-20,Investment grade,A3,Stable,2024-11-22,Investment grade,A-,Positive,2025-11-21,Investment grade,0.0,,,0
CZE,AA-,Stable,2025-03-28,Investment grade,Aa3,Stable,2023-11-24,Investment grade,AA-,Stable,2026-02-06,Investment grade,0.0,,,0
COD,B-,Stable,2022-01-28,Speculatif,B3,Stable,2022-11-11,Speculatif,,,,Non note,0.0,,,0
DNK,AAA,Stable,2026-02-06,Investment grade,Aaa,Stable,2022-02-11,Investment grade,AAA,Stable,2025-10-03,Investment grade,0.0,,,0
DOM,BB,Stable,2022-12-19,Speculatif,Ba3,Positive,2023-08-10,Speculatif,BB-,Positive,2025-11-07,Speculatif,1.0,,,0
ECU,B-,Stable,2020-09-01,Speculatif,Caa3,Stable,2023-02-27,Speculatif,B-,Stable,2026-02-25,Speculatif,3.0,Gap >= 2 notches,Ecart >= 2 crans,1
EGY,B,Stable,2025-10-10,Speculatif,Caa1,Negative,2024-01-18,Speculatif,B,Stable,2025-10-10,Speculatif,2.0,Gap >= 2 notches,Ecart >= 2 crans,1
SLV,B-,Stable,2023-11-07,Speculatif,B3,Stable,2024-11-26,Speculatif,B-,Stable,2025-04-30,Speculatif,0.0,,,0
EST,A+,Stable,2024-05-31,Investment grade,A1,Stable,2022-04-29,Investment grade,A+,Stable,2025-06-06,Investment grade,0.0,,,0
ETH,SD,,2023-12-15,Defaut / retire,Caa3,Stable,2023-09-15,Speculatif,RD,,2025-10-17,Defaut / retire,,,,0
FLK,A+,Stable,2021-09-22,Investment grade,,,,Non note,,,,Non note,,,,0
FJI,B+,Stable,2021-09-22,Speculatif,B1,Stable,2022-10-07,Speculatif,,,,Non note,0.0,,,0
FIN,AA+,Stable,2014-10-10,Investment grade,Aa1,Stable,2022-07-29,Investment grade,AA,Stable,2025-07-25,Investment grade,1.0,,,0
FRA,A+,Stable,2025-10-17,Investment grade,Aa3,Stable,2024-12-14,Investment grade,A+,Stable,2026-03-06,Investment grade,1.0,,,0
GEO,BB,Stable,2019-10-11,Speculatif,Ba2,Negative,2022-04-28,Speculatif,BB,Stable,2025-11-21,Speculatif,0.0,,,0
DEU,AAA,Stable,1983-08-17,Investment grade,Aaa,Stable,2023-02-10,Investment grade,AAA,Stable,2025-07-11,Investment grade,0.0,,,0
GHA,B-,Stable,2025-11-07,Speculatif,Caa3,Stable,2023-06-09,Speculatif,B-,Stable,2025-06-16,Speculatif,3.0,Gap >= 2 notches,Ecart >= 2 crans,1
GRC,BBB,Stable,2025-04-18,Investment grade,Baa3,Stable,2025-03-14,Investment grade,BBB,Stable,2025-11-14,Investment grade,1.0,,,0
GTM,BB+,Stable,2025-05-23,Speculatif,Ba1,Stable,2022-06-15,Speculatif,BB+,Stable,2025-10-14,Speculatif,0.0,,,0
GGY,A+,Stable,2023-01-13,Investment grade,,,,Non note,,,,Non note,,,,0
GIN,B+,Stable,2025-09-18,Speculatif,,,,Non note,,,,Non note,,,,0
HND,BB-,Negative,2017-07-19,Speculatif,B1,Stable,2023-10-03,Speculatif,,,,Non note,1.0,,,0
HKG,AA+,Stable,2017-09-22,Investment grade,Aa3,Negative,2023-12-06,Investment grade,AA-,Stable,2025-05-23,Investment grade,2.0,Gap >= 2 notches,Ecart >= 2 crans,1
HUN,BBB-,Negative,2025-04-11,Investment grade,Ba1,Negative,2025-12-30,Speculatif,BBB,Negative,2025-12-05,Investment grade,2.0,Investment vs speculative,Investment vs speculatif,1
ISL,A+,Positive,2026-03-06,Investment grade,A1,Stable,2024-09-19,Investment grade,WD,Ratings withdrawn,2026-02-06,Speculatif,0.0,,,0
IND,BBB,Stable,2025-08-14,Investment grade,Baa3,Stable,2023-08-18,Investment grade,BBB-,Stable,2025-08-25,Investment grade,1.0,,,0
IDN,BBB,Stable,2019-05-31,Investment grade,Baa2,Negative,2026-02-05,Investment grade,BBB,Negative,2026-03-04,Investment grade,0.0,,,0
IRQ,B-,Stable,2015-09-03,Speculatif,Caa1,Stable,2023-11-24,Speculatif,B-,Stable,2025-11-24,Speculatif,1.0,,,0
IRL,AA+,Stable,2026-03-20,Investment grade,Aa3,Stable,2023-04-21,Investment grade,AA,Stable,2025-11-07,Investment grade,2.0,Gap >= 2 notches,Ecart >= 2 crans,1
ISR,A,Stable,2024-10-01,Investment grade,Baa1,Negative,2024-09-27,Investment grade,A,Negative,2025-03-31,Investment grade,2.0,Gap >= 2 notches,Ecart >= 2 crans,1
ITA,BBB+,Stable,2025-04-11,Investment grade,Baa2,Stable,2025-11-21,Investment grade,BBB+,Stable,2025-09-19,Investment grade,1.0,,,0
JAM,BB,Stable,2025-09-25,Speculatif,B1,Positive,2023-10-18,Speculatif,BB-,Stable,2026-02-05,Speculatif,2.0,Gap >= 2 notches,Ecart >= 2 crans,1
JPN,A+,Stable,2015-09-16,Investment grade,A1,Stable,2023-11-08,Investment grade,A,Stable,2026-01-19,Investment grade,1.0,,,0
JEY,AA-,Stable,2021-01-16,Investment grade,,,,Non note,,,,Non note,,,,0
JOR,BB-,Stable,2024-09-06,Speculatif,B1,Positive,2022-11-17,Speculatif,BB-,Stable,2025-05-07,Speculatif,1.0,,,0
KAZ,BBB,Positive,2026-08-21,Investment grade,Baa1,Positive,2024-09-09,Investment grade,BBB,Stable,2025-07-15,Investment grade,1.0,,,0
KEN,B,Stable,2025-08-22,Speculatif,B3,Negative,2023-07-28,Speculatif,B-,Stable,2026-01-23,Speculatif,1.0,,,0
KWT,AA-,Stable,2025-11-21,Investment grade,A1,Stable,2022-05-26,Investment grade,AA-,Stable,2025-09-05,Investment grade,1.0,,,0
