iso3,indicator,side,rule_id,label_en,label_fr,value
ABW,Control of corruption,opportunity,corruption_ctrl_high,Good control of corruption above 0.5 (value: 0.87),"Maîtrise de la corruption solide au-dessus de 0,5 (valeur : 0.87)",0.8687982
ABW,Current account,opportunity,ca_surplus,Current account surplus above 3 % of GDP (value: 5.2),Excédent courant au-dessus de 3 % du PIB (valeur : 5.2),5.19136770255524
ABW,Fiscal balance,opportunity,fiscal_surplus,Fiscal surplus of 5.4% of GDP: comfortable policy space.,Excédent budgétaire de 5.4% du PIB : marge de manœuvre confortable.,5.363
ABW,GDP growth,opportunity,growth_strong,Strong GDP growth above 5 % (value: 6.8),Croissance du PIB soutenue au-dessus de 5 % (valeur : 6.8),6.81077669324554
ABW,Political stability,opportunity,pol_stability_high,Strong political stability above 0.5 (value: 1.33),"Stabilité politique solide au-dessus de 0,5 (valeur : 1.33)",1.3302095
ABW,Regulatory quality,opportunity,regulatory_quality_high,Strong regulatory quality at 0.98: sound policy framework.,Qualité réglementaire solide à 0.98 : cadre politique sain.,0.9808972
ABW,Rule of law,opportunity,rule_of_law_high,Strong rule of law at 1.22: solid legal enforcement.,État de droit solide à 1.22 : application du droit fiable.,1.22006
AFG,Control of corruption,risk,corruption_high,Control of corruption below -0.5,"Maîtrise de la corruption inférieure à -0,5",-1.3087183
AFG,Current account,risk,ca_deficit,Current account deficit beyond -5 % of GDP,Déficit courant au-delà de -5 % du PIB,-15.7183027911684
AFG,Debt service,opportunity,debt_service_low,Low debt service at 2.7% of exports: manageable external burden.,Service de la dette faible a 2.7% des exports : charge externe maitrisee.,2.67397501265809
AFG,External debt,opportunity,ext_debt_low,External debt below 30 % of GNI (value: 19.9),Dette externe sous 30 % du RNB (valeur : 19.9),19.8909368152618
AFG,Gen gov debt,opportunity,debt_low,Government debt below 40 % of GDP (value: 8.0),Dette publique sous 40 % du PIB (valeur : 8.0),7.976
AFG,Inflation,opportunity,inflation_low,Inflation contained below 3 % (value: -6.6),Inflation contenue sous 3 % (valeur : -6.6),-6.60118564073726
AFG,Political stability,risk,political_instability,Political stability below -1.0,"Stabilité politique inférieure à -1,0",-2.2052112
AFG,Regulatory quality,risk,regulatory_quality_low,Regulatory quality below -0.5,"Qualité réglementaire inférieure à -0,5",-1.538435
AFG,Reserves,opportunity,reserves_high,Comfortable reserves above 6 months of imports (value: 16.6),Réserves confortables au-dessus de 6 mois d'importations (valeur : 16.6),16.6316336551941
AFG,Rule of law,risk,rule_of_law_low,Rule of law below -0.5,"État de droit inférieur à -0,5",-1.9354887
AGO,Control of corruption,risk,corruption_high,Control of corruption below -0.5,"Maîtrise de la corruption inférieure à -0,5",-0.6225793
AGO,Current account,opportunity,ca_surplus,Current account surplus above 3 % of GDP (value: 6.1),Excédent courant au-dessus de 3 % du PIB (valeur : 6.1),6.12127885547185
AGO,Debt service,risk,debt_service_high,Debt service above 25 % of exports,Service de la dette au-dessus de 25 % des exports,28.9122414363047
AGO,External debt,risk,external_debt_high,External debt above 60% of GNI,Dette externe supérieure à 60 % du RNB,79.5726391511001
AGO,Gini,risk,gini_high,Gini index above 45 (high inequality),Indice de Gini supérieur à 45 (inégalités élevées),51.3
AGO,Inflation,risk,inflation_high,Inflation above 10 %,Inflation supérieure à 10 %,28.2404948915772
AGO,Regulatory quality,risk,regulatory_quality_low,Regulatory quality below -0.5,"Qualité réglementaire inférieure à -0,5",-0.7730199999999999
AGO,Rule of law,risk,rule_of_law_low,Rule of law below -0.5,"État de droit inférieur à -0,5",-1.1697408
AGO,Youth unemployment,risk,youth_unemp_high,Youth unemployment above 25 %,Chômage des jeunes supérieur à 25 %,26.74
ALB,Debt service,opportunity,debt_service_low,Low debt service at 8.0% of exports: manageable external burden.,Service de la dette faible a 8.0% des exports : charge externe maitrisee.,8.00915421288433
ALB,Gini,opportunity,gini_low,"Low inequality (Gini below 35, value: 29.4)","Inégalités contenues (Gini sous 35, valeur : 29.4)",29.4
ALB,Inflation,opportunity,inflation_low,Inflation contained below 3 % (value: 2.2),Inflation contenue sous 3 % (valeur : 2.2),2.21587375089992
ALB,Reserves,opportunity,reserves_high,Comfortable reserves above 6 months of imports (value: 6.0),Réserves confortables au-dessus de 6 mois d'importations (valeur : 6.0),6.04107418472308
ALB,Youth unemployment,risk,youth_unemp_high,Youth unemployment above 25 %,Chômage des jeunes supérieur à 25 %,25.582
AND,Current account,opportunity,ca_surplus,Current account surplus above 3 % of GDP (value: 16.0),Excédent courant au-dessus de 3 % du PIB (valeur : 16.0),16.045169836446
